,District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
61,Yau Tsim Mong,Sunbeam Commercial Building (non-residential),08/03/2020,Case 125
62,Wan Chai,48 Percival Street (non-residential),08/03/2020,Case 134
63,Tuen Mun,Richland Garden Shopping Arcade (non-residential),09/03/2020,Case 120 and 121
64,Tsuen Wan,Chan Kee Commercial Centre (non-residential),09/03/2020,Case 123
65,Tsuen Wan, 61 Sham Tseng Village (non-residential),09/03/2020,Case 123
66,Kwun Tong ,Kwun Tong Plaza (non-residential),09/03/2020,Case 125
67,Kwun Tong ,Sing Win Factory Building  (non-residential),09/03/2020,Case 125
68,Kwun Tong,Domain (non-residential),09/03/2020,Case 67 and 125
69,Yau Tsim Mong,Good Hope Building (non-residential),09/03/2020,Case 125
70,Yau Tsim Mong,CMB Wing Lung Bank Centre (non-residential),09/03/2020,Case 125
71,Kwun Tong,Laguna Plaza (non-residential),09/03/2020,Case 126 and 127
72,Eastern,625 King's Road (non-residential),09/03/2020,Case 134
73,Islands,Cheung Chau Municipal Services Building (non-residential),10/03/2020,Case 123
74,Islands,1-2 Kin Sun Lane (non-residential),10/03/2020,Case 123
75,Yuen Long District,Kingswood Richly Plaza (non-residential),10/03/2020,Case 125
76,Kwai Tsing ,Tsing Yi Square  (non-residential),10/03/2020,Case 142
77,Central and Western,"Meng Wah Complex, University of Hong Kong (non-residential)",11/03/2020,Case 132
78,Wan Chai,"Block 2, Cavendish Heights, 33 Perkins Road (non-residential)",11/03/2020,Case 137
79,Wan Chai,5 Perkins Road (non-residential),11/03/2020,Case 137
80,Tai Po,Fu Heng Shopping Centre (non-residential),11/03/2020,"Case 119, 124 and 140"
81,Yau Tsim Mong,Argyle Centre Phase  (non-residential),11/03/2020,Case 142
82,Wan Chai,Hong Kong Adventist Hospital Stubbs Road (non-residential),11/03/2020,Case 147 and 148
83,Yau Tsim Mong,Grand Centre  (non-residential),12/03/2020,Case 142
84,Wong Tai Sin,Mikiki (non-residential),12/03/2020,Case 155
85,Tuen Mun,Siu Lun Shopping Centre (non-residential),12/03/2020,Case 161
86,Wan Chai,Hopewell Centre (non-residential),12/03/2020,Case 168
87,Wan Chai,Hong Kong Sanatorium & Hospital (non-residential),13/03/2020,"Case 76, 85, 91, 110, 139, 147 and 148"
88,Kwai Tsing ,Greenfield Shopping Arcade (non-residential),13/03/2020,Case 142
89,Central & Western,Kwong Ga Factory Building (non-residential),13/03/2020,Case 146
90,Yau Tsim Mong,Kowloon Mosque And Islamic Centre (non-residential),13/03/2020,Case 151
91,Sham Shui Po,"Kimberland Center, 55 Wing Hong Street (non-residential)",13/03/2020,Case 153
92,Kowloon City,Celestial Place (non-residential),13/03/2020,Case 155
93,Wan Chai,Hopewell Centre (non-residential),13/03/2020,Case 101 and 156
94,Wan Chai,The Harbourview (non-residential),14/03/2020,Case 144
95,Southern,"Ping On House, 2 Chengtu Road (non-residential)",14/03/2020,Case 149
96,Kowloon City,In House (non-residential),14/03/2020,Case 154
97,Yau Tsim Mong,Yau Ma Tei Jockey Club General Out-patient Clinic (non-residential),15/03/2020,Case 150
98,North,"Lai Ming House, Wah Ming Estate (non-residential)",15/03/2020,Case 155
99,Central & Western,JW Marriott Hotel Hong Kong (non-residential),15/03/2020,"Case 85, 101,104 and 156"
100,Tuen Mun,2 Hoi Chu Road  (non-residential),15/03/2020,Case 152
101,Yau Tsim Mong,Kam San Building 78-86 Reclamation Street (non-residential),15/03/2020,Case 159
102,Tuen Mun,Tuen Mun Town Plaza (non-residential),15/03/2020,Case 161
103,Tuen Mun,Tuen Mun Trend Plaza (non-residential),15/03/2020,Case 161
104,Yau Tsim Mong,"Harvest Moon House, 337 - 339 Nathan Road (non-residential)",16/03/2020,Case 159
105,Yau Tsim Mong,"Hang Shing Building, 363 Nathan Road (non-residential)",16/03/2020,Case 159
106,Southern,Stanley Plaza (non-residential),16/03/2020,Case 160
107,Central & Western,Admiralty Centre Tower 1 (non-residential),16/03/2020,Case 161
